pl_name,hostname,discoverymethod,disc_year,period,prad,teq,insol,dor,srad,smass,sage,steff,slogg,smet,ra,dec,disposition,source
Kepler-222 d,Kepler-222,Transit,2014,28.08209,3.3,494.0,,40.0,0.76,0.857,0.7,5342.0,4.62,,287.9060885,46.9377479,CONFIRMED,PS
Kepler-222 d,Kepler-222,Transit,2014,28.08194365,3.563,,14.7,,0.801,0.933,1.17,5315.0,,0.33,287.9060885,46.9377479,CONFIRMED,PS
Kepler-222 d,Kepler-222,Transit,2014,28.08194365,3.75,522.0,17.52,47.38,0.843,0.945,,5431.0,4.563,0.12,287.9060885,46.9377479,CONFIRMED,PS
Kepler-222 d,Kepler-222,Transit,2014,28.08194365,3.75,522.0,17.52,47.38,0.843,0.945,,5431.0,4.563,0.12,287.9060885,46.9377479,CONFIRMED,PS
Kepler-222 d,Kepler-222,Transit,2014,28.08185982,3.63,522.0,17.52,44.9,0.843,0.945,,5431.0,4.563,0.12,287.9060885,46.9377479,CONFIRMED,PS
Kepler-222 d,Kepler-222,Transit,2014,28.081912,3.69,,,,0.869,,,5433.0,4.551,,287.9060885,46.9377479,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.28689074,1226.4,714.0,61.37,24.0,0.872,0.97,,5716.0,4.544,-0.04,298.348382,47.4913021,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.28992,3.5,759.0,,12.1,0.92,1.028,0.3,5966.0,4.52,,298.348382,47.4913021,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.2907,2.9,,,,0.96,1.0,,5750.0,5.0,0.0,298.348382,47.4913021,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.28689997,2.78,715.0,61.8,31.83,0.87,0.968,,5730.0,4.545,-0.06,298.348382,47.4913021,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.2884,3.14,,69.0,,0.932,0.979,,5701.0,,-0.04,298.348382,47.4913021,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.28689074,1226.4,714.0,61.37,24.0,0.872,0.97,,5716.0,4.544,-0.04,298.348382,47.4913021,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.28613,2.34,,34.4,,0.732,0.761,,5378.0,4.6,-0.44,298.348382,47.4913021,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.28689074,1226.4,714.0,61.37,24.0,0.872,0.97,,5716.0,4.544,-0.04,298.348382,47.4913021,CONFIRMED,PS
Kepler-29 c,Kepler-29,Transit,2011,13.28689074,1023.268,,39.9,,0.732,0.761,5.5,5378.0,,-0.44,298.348382,47.4913021,CONFIRMED,PS
